timeseries_id,sensor_id,aggregate,reading_type,kind,preferred,valid_from,valid_to,database_id,path,external_id,device_id,sources,aggregation
B658.VP1_VMM61:d,B658.VP1_VMM61.energy,daily,counter,raw,True,,2026-02-02,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B658.VP1_VMM61_E,,,
B661.VP1_VMM61:d,B661.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B661.VP1_VMM61_E,,,
B674.VP1_VMM61:d,B674.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B674.VP1_VMM61_E,,,
B674.VP2_VMM61:d,B674.VP2_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B674.VP2_VMM61_E,,,
B821.VP1_VMM61:d,B821.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B821.VP1_VMM61_E,,,
B833.VP1_VMM61:d.raw,B833.VP1_VMM61.energy,daily,counter,raw,False,,2026-02-19,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B833.VP1_VMM61_E,,,
B833.VP1_VMM62:d,B833.VP1_VMM62.energy,daily,counter,raw,True,,2026-02-19,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B833.VP1_VMM62_E,,,
B833.VÅ9_VMM41:d,B833.VÅ9_VMM41.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B833.VÅ9_VMM41_E,,,
B834.VP1_VMM61:d,B834.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B834.VP1_VMM61_E,,,
B841.VP1_VMM61:d,B841.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B841.VP1_VMM61_E,,,
B921.VP1_VMM61:d,B921.VP1_VMM61.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B921.VP1_VMM61,,,
B833.VP1_VMM61:d.patch,B833.VP1_VMM61.energy,daily,counter,derived,False,2026-02-19,,,,,,B833.VP1_VMM62:d|B834.VP1_VMM61:d,sum
B833.VP1_VMM61:d,B833.VP1_VMM61.energy,daily,counter,derived,True,,,,,,,B833.VP1_VMM61:d.raw|B833.VP1_VMM61:d.patch,rolling_sum
B611.T1:d.A,B611.T1.energy,daily,counter,raw,False,,2026-01-14,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.T1-S,,,
B611.T1:d.B,B611.T1.energy,daily,counter,raw,False,2026-01-14,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.T1-S,,,
B611.T1:d,B611.T1.energy,daily,counter,derived,True,,,,,,,B611.T1:d.A|B611.T1:d.B,rolling_sum
B611.T2:d,B611.T2.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.T2-S,,,
B611.T3:d.A,B611.T3.energy,daily,counter,raw,False,,2026-02-23,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.T3-S,,,
B611.T3:d.B,B611.T3.energy,daily,counter,raw,False,2026-02-23,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.T3-S,,,
B611.T3:d,B611.T3.energy,daily,counter,derived,True,,,,,,,B611.T3:d.A|B611.T3:d.B,rolling_sum
B611.T4:d,B611.T4.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.T4-S,,,
B611.T4-A3:d,B611.T4-A3.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.T4-A3,,,
B611.T4-C1:d,B611.T4-C1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.T4-C1,,,
B611.T4-C4:d,B611.T4-C4.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.T4-C4,,,
B611.T41:d,B611.T41.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B611.T41-S,,,
B612.T48:d,B612.T48.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.T48-S,,,
B612.T7:d,B612.T7.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.T7-S,,,
B612.T8:d,B612.T8.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.T8-S,,,
B612.T8-B5:d,B612.T8-B5.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.T8-B5,,,
B612.T8-B6:d,B612.T8-B6.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.T8-B6,,,
B612.T9:d.A,B612.T9.energy,daily,counter,raw,False,,2025-07-09,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.T9-S,,,
B612.T9:d.B,B612.T9.energy,daily,counter,raw,False,2025-07-09,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B612.T9-S,,,
B612.T9:d,B612.T9.energy,daily,counter,derived,True,,,,,,,B612.T9:d.A|B612.T9:d.B,rolling_sum
B614.T18:d.A,B614.T18.energy,daily,counter,raw,False,,2025-01-01,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B614.T18-S,,,
B614.T18:d.B,B614.T18.energy,daily,counter,raw,False,2025-01-01,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B614.T18-S,,,
B614.T18:d,B614.T18.energy,daily,counter,derived,True,,,,,,,B614.T18:d.A|B614.T18:d.B,rolling_sum
B614.T19:d,B614.T19.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B614.T19-S,,,
B614.T20:d.A,B614.T20.energy,daily,counter,raw,False,,2025-11-10,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B614.T20-S,,,
B614.T20:d.B,B614.T20.energy,daily,counter,raw,False,2025-11-10,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B614.T20-S,,,
B614.T20:d,B614.T20.energy,daily,counter,derived,True,,,,,,,B614.T20:d.A|B614.T20:d.B,rolling_sum
B615.T7-A2-257:d,B615.T7-A2-257.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B615.T7-A2-257,,,
B616.T31:d,B616.T31.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B616.T31-S,,,
B616.T31-6-2:d,B616.T31-6-2.energy,daily,counter,raw,True,,2026-02-12,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B616.T31-6-2,,,
B616.T32:d,B616.T32.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B616.T32-S,,,
B616.T33:d.A,B616.T33.energy,daily,counter,raw,False,,2025-04-06,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B616.T33-S,,,
B616.T33:d.B,B616.T33.energy,daily,counter,raw,False,2025-04-06,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B616.T33-S,,,
B616.T33:d,B616.T33.energy,daily,counter,derived,True,,,,,,,B616.T33:d.A|B616.T33:d.B,rolling_sum
B616.T33-6-1:d,B616.T33-6-1.energy,daily,counter,raw,True,,,ion_sweden_bms,OPS_WRK.ION_SWEDEN.DATALOG2,B616.T33-6-1,,,
