parent_meter_id,child_meter_id,relation_type,flow_coefficient,valid_from,valid_to,derived_from
B612.VP2_VMM61,B612.VP2_VMM64,hasSubMeter,,,,override_2026-04-19_luis
B612.VP2_VMM61,B612.VP2_VMM65,hasSubMeter,,,,override_2026-04-19_luis
B612.VP2_VMM63,B641.VP2_VMM61,hasSubMeter,,,,flow_schema_V600-56.8-001/auto_root_degree
B614.VS1_VMM61,B615.VS1_VMM61,hasSubMeter,,,,flow_schema_V600-56.8-001/arrow
B616.VP1_VMM62,B616.VS1_VMM61,hasSubMeter,,,,flow_schema_V600-56.8-001/auto_root_degree
B616.VP1_VMM62,B661.VP1_VMM61,hasSubMeter,,,,override_2026-04-19_luis
B621.VP1_VMM61,B621.VÅ9_VMM41,hasSubMeter,,,,naming_role_hierarchy
B621.VP1_VMM61,B622.VP1_VMM61,hasSubMeter,,,,flow_schema_V600-56.8-001/auto_root_degree
B621.VP1_VMM61,B623.VP1_VMM61,hasSubMeter,,,,flow_schema_V600-56.8-001/auto_root_degree
B621.VP1_VMM61,B658.VP1_VMM61,hasSubMeter,,,,flow_schema_V600-56.8-001/auto_root_degree
B631.VP1_VMM61,B611.VÅ9_VMM41,hasSubMeter,,,,flow_schema_V600-56.8-001/arrow
B634.VP1_VMM61,B634.VÅ9_VMM41,hasSubMeter,,,,naming_role_hierarchy
B637.VP2_VMM61,B638.VP2_VMM61,hasSubMeter,,,,flow_schema_V600-56.8-001/auto_root_degree
B650.VP1_VMM61,B655.VP1_VMM61,hasSubMeter,,,,flow_schema_V600-56.8-001/auto_root_degree
B674.VÅ9_VMM41,B674.VP1_VMM61,hasSubMeter,,,,flow_schema_V600-56.8-001/arrow
B674.VÅ9_VMM42,B674.VP2_VMM61,hasSubMeter,,,,flow_schema_V600-56.8-001/arrow
B833.VP1_VMM61,B834.VP1_VMM61,hasSubMeter,,,,flow_schema_V600-56.8-001/auto_root_degree
B611.VP1_VMM61,B631.VP1_VMM62,hasSubMeter,,,,excel_formula_B611
B612.VP2_VMM65,B637.VP2_VMM61,hasSubMeter,,,,excel_formula_B612
B612.VP2_VMM65,B613.VP2_VMM61,hasSubMeter,,,,excel_formula_B612
B612.VP2_VMM65,B654.VP2_VMM61,hasSubMeter,,,,excel_formula_B612
B614.VS1_VMM61,B642.VS1_VMM61,hasSubMeter,,,,excel_formula_B614
B665.H2-1,B660.EL_INTAKE,feeds,1.0,,,B660_substation_intake
